time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
13:47:07:643,0.4863,1.8713,-2.1417,2.885
13:47:07:652,-0.1304,2.7598,-3.0504,4.116
13:47:07:662,-0.3693,3.3960,-4.2012,5.415
13:47:07:676,0.0629,2.5009,-5.2674,5.831
13:47:07:681,0.6509,1.4439,-5.4791,5.703
13:47:07:692,1.6880,-0.2993,-5.3859,5.652
13:47:07:703,1.5649,-0.3915,-5.2204,5.464
13:47:07:716,3.8907,-0.6937,-3.7051,5.417
13:47:07:725,4.0810,-0.4886,-3.2221,5.223
13:47:07:732,4.1810,-0.5280,-2.6710,4.989
13:47:07:741,3.7647,-0.9411,-2.3941,4.560
13:47:07:756,2.9666,-1.2653,-1.7743,3.681
13:47:07:762,2.5137,-1.3021,-1.6275,3.265
13:47:07:773,2.1526,-1.3678,-1.2762,2.852
13:47:07:782,1.8183,-1.3241,-0.9253,2.432
13:47:07:796,1.6453,-1.1824,-0.3607,2.058
13:47:07:804,1.6695,-1.0545,-0.0520,1.975
13:47:07:813,1.7486,-0.7947,0.3435,1.951
13:47:07:825,1.8463,-0.2994,0.6593,1.983
13:47:07:840,1.9189,0.3804,0.8098,2.117
13:47:07:843,1.9016,0.4446,0.9515,2.172
13:47:07:852,1.7262,0.4181,1.2407,2.167
13:47:07:861,1.4502,0.1848,2.8085,3.166
13:47:07:876,0.9376,-0.7813,9.8790,9.954
13:47:07:881,1.3118,-0.9594,7.9576,8.122
13:47:07:891,1.5605,0.3836,3.7452,4.075
13:47:07:902,1.1245,1.7719,2.5120,3.273
13:47:07:916,0.9094,0.9580,2.2162,2.580
13:47:07:924,0.9922,0.3181,1.8776,2.147
13:47:07:933,0.9782,-0.1687,0.8422,1.302
13:47:07:942,0.9954,-0.1136,0.2624,1.036
13:47:07:956,1.1318,-0.2746,0.1555,1.175
13:47:07:962,1.1901,-0.5264,0.3163,1.339
13:47:07:974,1.1428,-0.9202,0.6414,1.601
13:47:07:982,0.9769,-1.2356,0.8607,1.795
13:47:07:996,0.7833,-1.7265,1.0212,2.153
13:47:08:002,0.7165,-1.7038,1.0097,2.106
13:47:08:013,0.5945,-1.5986,0.8725,1.916
13:47:08:024,0.4600,-1.3487,0.5950,1.544
13:47:08:036,0.2951,-0.8532,0.1167,0.910
13:47:08:041,0.1723,-0.5832,-0.0530,0.610
13:47:08:052,-0.0414,-0.0812,-0.2323,0.250
13:47:08:061,-0.2096,0.1909,-0.2644,0.388
13:47:08:076,-0.4791,0.7361,-0.2274,0.907
13:47:08:082,-0.5892,0.9758,-0.2152,1.160
13:47:08:092,-0.8280,1.4683,-0.1973,1.697
13:47:08:103,-0.9510,1.8740,-0.1241,2.105
13:47:08:117,-0.2123,2.0299,0.1205,2.045
13:47:08:124,0.0794,2.0532,0.1961,2.064
13:47:08:132,0.4442,1.9699,0.3711,2.053
13:47:08:142,0.5959,1.7793,0.5301,1.950
13:47:08:156,0.9392,1.5789,0.7452,1.982
13:47:08:163,1.1980,1.4961,0.7891,2.073
13:47:08:174,1.6438,1.4193,0.8822,2.344
13:47:08:181,2.0634,1.2951,0.9943,2.631
13:47:08:196,2.6154,1.0182,1.0706,3.004
13:47:08:202,2.8707,0.8309,1.0347,3.163
13:47:08:212,2.8721,0.8319,1.0419,3.166
13:47:08:223,1.9495,4.0719,0.1928,4.519
13:47:08:237,0.3132,7.9424,-1.4782,8.085
13:47:08:241,1.0240,6.6034,-1.5024,6.849
13:47:08:252,2.4631,1.9366,-0.6227,3.195
13:47:08:262,2.0977,-0.4127,0.0547,2.139
13:47:08:276,0.3845,-0.6906,0.4109,0.891
13:47:08:282,0.1328,-0.6608,0.4825,0.829
13:47:08:293,-0.1033,-0.5934,0.4936,0.779
13:47:08:302,-0.2998,-0.2655,0.3805,0.552
13:47:08:316,-0.6916,0.7470,0.2386,1.046
13:47:08:323,-0.9357,1.4441,0.4495,1.778
13:47:08:332,-1.5751,1.8786,0.3425,2.475
13:47:08:341,-2.1680,1.7555,0.0770,2.791
13:47:08:356,-2.4071,0.6788,-0.2035,2.509
13:47:08:361,-2.3323,0.1823,-0.2939,2.358
13:47:08:374,-2.2098,0.2188,-0.4575,2.267
13:47:08:381,-2.0562,-0.7986,-0.4001,2.242
13:47:08:396,-1.5501,-2.4120,0.0699,2.868
13:47:08:402,-1.2532,-2.5508,0.0685,2.843
13:47:08:413,-0.6460,-2.7689,-0.1197,2.846
13:47:08:424,-0.1039,-2.7208,-0.4131,2.754
13:47:08:437,0.2906,-2.6016,-0.6123,2.688
13:47:08:441,0.3703,-2.5643,-0.7688,2.703
13:47:08:452,0.1435,-2.6624,-0.9427,2.828
13:47:08:463,-0.0104,-2.6329,-1.1441,2.871
13:47:08:477,-0.0445,-2.2559,-1.2060,2.558
13:47:08:482,0.0431,-2.0457,-1.1952,2.370
13:47:08:492,0.0948,-1.5777,-0.9665,1.853
13:47:08:501,0.2360,-1.0417,-0.8309,1.353
13:47:08:515,0.7586,-0.3935,-1.0062,1.320
13:47:08:541,0.8652,-0.1476,-1.2036,1.490
13:47:08:544,1.2118,0.1229,-1.4525,1.896
13:47:08:546,1.3833,0.2056,-1.5266,2.070
13:47:08:557,1.1687,0.0249,-1.3536,1.788
13:47:08:561,1.1277,-0.0029,-1.3241,1.739
13:47:08:572,0.7011,-0.1449,-0.7818,1.060
13:47:08:581,0.2345,-0.6822,0.2859,0.776
13:47:08:595,-0.2815,-1.4865,2.1164,2.602
13:47:08:601,-0.3384,-1.7317,2.5649,3.113
13:47:08:611,-0.5522,-2.1235,3.3551,4.009
13:47:08:624,-0.7878,-2.4165,3.8084,4.579
13:47:08:636,-0.7604,-2.7345,3.5029,4.508
13:47:08:641,-0.5745,-2.7841,3.1835,4.268
13:47:08:652,-0.1252,-2.8699,2.6672,3.920
13:47:08:661,-0.0245,-2.7239,2.4327,3.652
13:47:08:675,-0.4274,-2.1781,2.1523,3.092
13:47:08:681,-0.5686,-1.8808,1.8907,2.727
13:47:08:691,-0.8082,-1.3730,1.6375,2.285
13:47:08:701,-0.9939,-1.0363,1.4267,2.024
13:47:08:716,-1.0776,-0.7745,1.0585,1.697
13:47:08:725,-1.1059,-0.8357,0.9011,1.653
13:47:08:732,-1.0860,-1.0560,0.6547,1.650
13:47:08:741,-1.0265,-1.2294,0.3660,1.643
13:47:08:757,-1.1491,-1.3687,-0.1226,1.791
13:47:08:761,-1.2795,-1.4163,-0.3071,1.933
13:47:08:772,-1.4212,-1.4467,-0.4840,2.085
13:47:08:781,-1.4374,-1.4975,-0.5776,2.155
13:47:08:796,-1.3622,-1.5680,-0.4932,2.135
13:47:08:801,-1.4590,-1.5625,-0.4385,2.182
13:47:08:811,-1.9775,-0.6013,-0.1679,2.074
13:47:08:824,-3.3646,2.5496,1.6805,4.544
13:47:08:836,-6.6227,7.1102,5.9973,11.419
13:47:08:841,-6.1595,6.9464,4.6839,10.399
13:47:08:851,-2.8697,4.3931,0.3086,5.256
13:47:08:861,-3.7934,1.3564,0.2684,4.037
13:47:08:875,-3.1065,-0.9333,-1.5721,3.605
13:47:08:881,-1.8068,-0.8296,-1.9750,2.802
