time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.823840,-3.2196,-0.5073,1.6788,3.666
3.836854,-2.7672,-0.8689,0.8208,3.014
3.844541,-2.1149,-1.0216,-0.0349,2.349
3.858778,-1.0753,-0.9343,-0.8322,1.650
3.865278,-0.7734,-0.9246,-0.7384,1.414
3.875911,0.2009,-0.8129,-0.7408,1.118
3.884724,0.8816,-1.0107,-0.7874,1.555
3.899617,1.8815,-1.0114,-0.7869,2.276
3.904335,2.0827,-1.0550,-0.9941,2.537
3.917523,2.4713,-0.9811,-1.6072,3.107
3.924438,2.6137,-0.8607,-2.2932,3.582
3.938689,2.9210,-0.3495,-3.0184,4.215
3.944076,2.8919,-0.2193,-3.2195,4.333
3.954299,3.0101,0.1001,-3.2311,4.417
3.964691,2.6674,0.1589,-2.7872,3.861
3.978262,1.9179,0.1191,-1.6324,2.521
3.984310,1.6473,0.0692,-1.2712,2.082
3.994961,1.0745,0.0487,-0.9194,1.415
4.004115,0.7690,0.1442,-1.2074,1.439
4.020817,0.4950,-0.1963,-2.3175,2.378
4.024557,0.4919,-0.3087,-2.6309,2.694
4.035542,0.4331,-0.4016,-2.7356,2.799
4.044269,0.1764,-0.5328,-2.4013,2.466
4.061100,-0.6335,-0.7911,-1.0768,1.479
4.064502,-0.9648,-0.8122,-0.6933,1.439
4.074885,-1.5560,-0.8206,-0.4224,1.809
4.085483,-1.8614,-0.9045,-0.8295,2.230
4.100538,-2.5442,-1.0191,-1.0503,2.935
4.104357,-2.7703,-1.0747,-1.1177,3.175
4.117472,-2.8522,-1.2905,-1.1286,3.328
4.124537,-2.7811,-1.2292,-1.1371,3.246
4.139247,-2.1863,-1.7691,1.9006,3.394
4.145148,-1.9469,-1.8889,2.7222,3.843
4.154654,-1.1213,-1.8825,3.3980,4.043
4.166018,-0.0114,-1.9257,3.1834,3.721
4.179567,1.1112,-2.0873,2.3581,3.339
4.184503,1.3031,-2.1180,1.9961,3.189
4.194957,1.4559,-2.0766,1.3425,2.870
4.204649,1.4953,-1.8929,0.7019,2.512
4.219823,1.2023,-1.5717,-0.2125,1.990
4.224376,1.0084,-1.5161,-0.4698,1.880
4.236191,0.6683,-1.4094,-0.9536,1.828
4.244236,0.6347,-1.2888,-1.3115,1.945
4.258649,0.5419,-1.3433,-1.5472,2.119
4.266093,0.4476,-1.4341,-1.5927,2.189
4.274634,0.1875,-1.5741,-1.7009,2.325
4.284287,-0.2206,-1.6983,-1.7921,2.479
4.300796,-0.8833,-1.7377,-1.2448,2.313
4.305019,-1.0240,-1.7291,-0.8231,2.172
4.323394,-0.9814,-1.5630,-0.0151,1.846
4.325225,-0.7903,-1.5433,0.6470,1.851
4.338298,-0.0045,-1.3952,1.2654,1.884
4.343757,0.3453,-1.2399,1.2977,1.828
4.355581,0.6377,-1.1113,0.9630,1.603
4.364344,0.7609,-0.7624,0.2592,1.108
4.380677,0.7635,0.0655,-0.8533,1.147
4.384380,0.7630,0.3042,-1.1046,1.377
4.395070,0.6026,0.5591,-1.4003,1.624
4.404542,0.3019,0.6773,-1.3094,1.505
4.423104,-0.4751,0.6369,-0.7610,1.100
4.424871,-0.8016,0.6198,-0.5629,1.159
4.440045,-1.4635,0.5146,-0.1732,1.561
4.444726,-1.9793,0.4095,0.0257,2.021
4.458110,-2.5049,0.4194,-0.3643,2.566
4.464326,-2.4442,0.4921,-0.7217,2.596
4.474810,-2.2370,0.7612,-1.3702,2.732
4.484627,-2.0400,1.0832,-1.9373,3.015
4.500464,-1.5454,1.5284,-3.1113,3.795
4.504087,-1.1864,1.6017,-3.3642,3.910
4.514466,-0.6342,1.7079,-3.6967,4.121
4.525643,-0.0426,1.4158,-3.7919,4.048
4.539908,0.3927,0.3386,-2.5315,2.584
4.543860,0.4045,0.1049,-1.8759,1.922
4.554491,0.6100,-0.2036,-0.7568,0.993
4.566472,0.6662,-0.6956,0.3422,1.022
4.578106,0.9058,-1.0672,1.2750,1.893
4.584454,0.9822,-0.9948,1.4005,1.979
4.595526,0.9929,-0.8982,1.2970,1.864
4.604218,0.9061,-0.7028,0.7988,1.398
4.619151,0.6149,-0.6433,-0.2557,0.926
4.624330,0.4691,-0.5989,-0.6560,1.005
4.636268,0.2184,-0.7844,-1.1876,1.440
4.644395,-0.0191,-0.9834,-1.5873,1.867
4.659528,-0.9378,-1.5150,-2.4614,3.039
4.664753,-1.7445,-1.6146,-2.3036,3.310
4.674745,-2.3537,-1.7641,0.6694,3.017
4.685085,-2.4019,-2.0881,3.5616,4.776
4.702735,-1.5772,-1.9584,6.3194,6.801
4.703566,-1.2206,-1.7384,6.1320,6.489
4.715664,-0.3182,-1.5144,4.9686,5.204
4.724513,0.3071,-1.7765,3.9201,4.315
4.737863,1.1557,-1.4632,4.3751,4.756
4.745097,1.3307,-1.3010,4.3731,4.753
4.755037,1.7172,-1.4382,3.6631,4.294
4.764344,2.0627,-1.4453,2.8861,3.831
4.779647,2.2957,-1.1221,1.5292,2.978
4.784465,2.1498,-1.0914,1.0593,2.633
4.795040,1.7127,-0.9203,0.2962,1.967
4.804530,1.3701,-0.7470,-0.2176,1.576
4.822700,0.8536,-0.5883,-0.9007,1.373
4.824721,0.5301,-0.5567,-1.1856,1.413
4.837207,0.0726,-0.4491,-1.4918,1.560
4.844203,-0.3041,-0.3593,-1.6068,1.674
4.858507,-0.6878,-0.1001,-1.5290,1.680
4.864772,-0.7467,0.0044,-1.4007,1.587
4.874603,-0.8716,0.1493,-1.1454,1.447
4.884324,-1.0006,0.1762,-0.7762,1.279
4.899949,-1.0922,0.0966,-0.3826,1.161
4.903992,-1.0493,0.1147,-0.3330,1.107
4.914284,-0.9347,0.1131,-0.2751,0.981
4.924832,-0.8176,0.1182,-0.1932,0.848
4.939740,-0.8028,0.0892,0.0064,0.808
4.944433,-0.7820,0.0365,-0.0259,0.783
4.954258,-0.6484,-0.0613,-0.1950,0.680
4.964020,-0.4786,-0.1145,-0.3834,0.624
4.978496,-0.2927,-0.1177,-0.4860,0.579
4.984555,-0.2846,-0.1209,-0.4746,0.567
4.994140,-0.2806,-0.1706,-0.4734,0.576
5.003964,-0.3391,-0.2053,-0.4417,0.593
5.022728,-0.4384,-0.2372,-0.3964,0.637
5.024352,-0.4322,-0.2354,-0.3946,0.631
5.037873,-0.4538,-0.2723,-0.3811,0.652
5.046024,-0.3777,-0.2853,-0.3386,0.582
5.058894,-0.2231,-0.3151,-0.0707,0.392
5.064821,-0.2506,-0.2825,-0.0777,0.386
5.074942,-0.0176,-0.3111,0.3464,0.466
5.085738,0.0485,-0.3001,0.5722,0.648
5.100273,0.1796,-0.4102,0.5856,0.737
5.103876,0.1308,-0.4552,0.5353,0.715
5.114572,0.2169,-0.4193,0.5269,0.707
5.123901,0.2244,-0.5000,0.4765,0.726
5.140657,0.2275,-0.4780,0.4155,0.673
5.144909,0.1966,-0.5051,0.3460,0.643
