성별,졸업시기,급여,안정성,직무내용,근로시간,발전가능성,승진제도,직장만족도,전공적합도,이직
1,0,200,4,4,4,4,3,4,5,0
0,0,220,4,4,4,4,4,4,4,0
1,1,195,4,4,4,3,3,3,4,0
0,0,200,4,4,4,3,3,4,5,0
1,0,230,4,5,4,4,4,4,5,0
1,0,230,5,5,5,5,5,5,4,0
0,0,180,5,5,5,5,5,5,5,0
1,0,160,5,5,4,2,3,5,5,1
1,0,180,4,4,4,4,4,4,5,0
1,0,160,4,4,4,4,3,3,5,0
1,0,190,3,5,5,5,5,4,1,0
0,0,270,4,4,4,3,3,4,5,0
1,0,220,3,3,3,3,3,3,3,0
1,0,160,4,4,4,4,4,4,4,0
0,0,220,5,5,5,5,5,5,1,0
1,0,180,5,5,5,5,4,5,3,0
1,0,185,4,4,2,3,4,3,4,0
0,0,200,4,5,5,4,4,4,1,0
1,0,190,4,4,5,3,3,4,1,0
0,0,250,4,3,4,4,3,3,2,0
1,0,175,3,3,5,3,3,3,4,0
1,0,180,3,3,3,3,3,3,3,0
1,0,170,3,2,4,1,2,3,3,0
1,0,210,5,4,1,5,4,4,4,0
1,0,180,3,3,4,2,3,1,2,1
1,0,160,3,3,2,3,2,3,4,1
0,1,200,2,3,4,2,3,3,2,1
0,0,200,3,3,4,5,2,2,5,1
0,0,170,4,5,4,5,4,4,3,0
0,0,160,3,1,3,1,3,3,1,1
0,0,280,3,5,5,4,3,4,2,0
0,0,220,3,3,2,2,3,3,1,0
1,0,185,4,4,2,3,3,3,1,0
1,0,180,3,4,4,3,3,3,5,0
1,0,230,5,5,3,4,5,4,5,1
1,0,190,3,4,4,4,4,4,4,0
1,0,200,4,4,4,5,4,4,4,0
1,0,246,3,4,3,3,2,3,2,1
0,1,300,5,4,5,4,3,4,4,0
0,0,200,3,3,3,3,3,3,2,1
1,1,300,4,4,4,5,1,4,4,0
1,0,250,4,4,3,3,3,3,4,0
0,0,180,4,3,2,3,2,3,3,1
1,0,230,3,4,5,5,5,4,5,0
0,0,220,5,5,5,5,5,4,3,0
0,0,160,3,5,4,4,4,4,1,0
1,0,200,4,5,3,4,4,4,3,0
1,0,200,5,5,4,4,5,4,4,0
1,0,200,5,4,4,2,2,3,5,0
1,0,200,3,3,2,2,3,3,3,0
1,0,158,4,3,4,3,3,3,2,1
1,0,200,2,4,4,4,3,4,5,0
0,0,180,4,4,4,3,3,3,3,0
0,0,230,5,5,4,5,5,4,1,0
1,0,240,4,4,4,3,4,4,5,0
1,0,250,5,5,5,5,5,5,5,0
1,0,220,4,3,5,4,4,4,4,0
0,0,281,5,5,5,5,4,5,5,0
1,0,230,5,5,5,5,4,5,5,0
1,0,250,5,5,5,4,4,5,5,0
1,0,240,5,5,5,5,5,4,4,0
1,0,200,5,3,5,4,5,4,5,0
1,0,270,5,5,5,5,4,5,5,0
1,0,260,4,4,4,4,5,5,3,0
1,0,200,2,4,4,4,3,4,4,0
0,0,260,4,3,4,3,3,4,4,1
0,0,240,2,1,5,2,3,1,2,0
0,0,250,5,4,5,4,2,5,5,0
1,0,240,5,5,5,5,4,4,4,0
1,0,260,5,5,5,4,5,4,5,0
1,0,230,5,5,5,5,4,4,5,0
0,0,170,5,5,5,5,4,4,4,0
1,0,220,3,3,3,3,3,3,3,0
1,0,210,5,5,5,5,5,5,5,0
1,0,225,5,5,5,5,5,5,5,0
1,0,270,5,4,4,5,3,4,5,0
1,0,270,5,5,5,5,5,5,5,0
1,0,205,4,3,5,3,2,3,4,0
1,0,250,5,4,5,3,3,4,5,0
1,0,230,4,4,4,4,4,4,5,1
0,0,200,3,3,3,3,3,3,3,0
1,0,260,5,3,4,3,3,4,4,0
1,0,260,4,4,4,4,3,4,4,0
1,0,280,4,4,5,4,4,5,4,0
1,0,230,5,4,5,5,4,4,4,0
1,0,225,5,4,5,4,4,4,5,0
0,0,350,5,5,5,5,4,5,5,0
1,0,230,5,4,5,5,4,5,4,0
0,0,250,5,5,4,4,5,5,5,0
1,0,200,4,4,4,3,3,4,4,0
1,0,230,4,4,4,4,4,4,4,0
1,0,270,5,5,5,5,5,4,5,0
0,0,250,4,5,4,4,2,4,4,0
1,0,240,5,4,4,3,4,4,5,0
1,0,230,5,5,5,5,5,3,3,0
1,0,210,4,4,4,4,1,4,5,0
1,0,240,5,5,5,4,4,5,5,0
1,0,230,5,5,5,5,5,5,5,0
0,0,210,5,4,4,4,3,4,4,0
0,0,230,5,4,5,4,4,4,3,0
1,0,210,4,4,4,4,4,4,4,0
0,0,250,4,4,4,3,3,3,3,0
0,0,260,4,4,4,4,4,4,2,0
1,1,300,4,4,1,3,4,3,4,1
0,0,170,4,4,5,4,3,4,1,0
0,0,200,5,5,5,5,5,5,3,0
1,0,340,4,4,3,4,4,4,1,0
1,0,200,3,3,3,2,3,2,3,1
1,1,180,4,3,3,2,3,3,2,0
